image,label_code,label,model_prompt,response,error
data/vlmdata/img_0.png,0,no_diabetic_retinopathy,Describe this ophthalmic image briefly.,Question: Describe this ophthalmic image briefly. Answer: The retina is the light-sensitive tissue of the eye that receives light from the retina and converts it into electrical signals that are sent to the brain,
data/vlmdata/img_0.png,0,no_diabetic_retinopathy,"What abnormalities are visible? If none are visible, say so clearly.","Question: What abnormalities are visible? If none are visible, say so clearly. Answer: The retina is normal",
data/vlmdata/img_0.png,0,no_diabetic_retinopathy,Give the most likely diagnosis and a one-sentence justification based only on visible evidence.,Question: Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer: vitreous humor,
data/vlmdata/img_1.png,0,no_diabetic_retinopathy,Describe this ophthalmic image briefly.,Question: Describe this ophthalmic image briefly. Answer: The image shows a macular hole in the retina. The macula is the central part of the retina that is responsible for central vision. The macula is surrounded by a layer of blood vessels that supply the retina with oxygen and nutrients. The macula is surrounded by a layer of blood vessels that supply the retina with oxygen and nutrients.,
data/vlmdata/img_1.png,0,no_diabetic_retinopathy,"What abnormalities are visible? If none are visible, say so clearly.","Question: What abnormalities are visible? If none are visible, say so clearly. Answer: The retina is normal.",
data/vlmdata/img_1.png,0,no_diabetic_retinopathy,Give the most likely diagnosis and a one-sentence justification based only on visible evidence.,Question: Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer: vitreous humor,
data/vlmdata/img_2.png,0,no_diabetic_retinopathy,Describe this ophthalmic image briefly.,Question: Describe this ophthalmic image briefly. Answer: The image shows a macular hole in the retina. The macula is the central part of the retina that is responsible for central vision. The macula is surrounded by a layer of blood vessels that supply the retina with nutrients and oxygen. The macula is surrounded by a layer of blood vessels that supply the retina with nutrients and oxygen.,
data/vlmdata/img_2.png,0,no_diabetic_retinopathy,"What abnormalities are visible? If none are visible, say so clearly.","Question: What abnormalities are visible? If none are visible, say so clearly. Answer: The retina is normal.",
data/vlmdata/img_2.png,0,no_diabetic_retinopathy,Give the most likely diagnosis and a one-sentence justification based only on visible evidence.,Question: Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer: vitreous humor,
data/vlmdata/img_3.png,0,no_diabetic_retinopathy,Describe this ophthalmic image briefly.,Question: Describe this ophthalmic image briefly. Answer: The image shows a macular hole in the retina. The macula is the central part of the retina that is responsible for central vision. The macula is surrounded by a layer of blood vessels that supply the retina with nutrients and oxygen. The macula is surrounded by a layer of blood vessels that supply the retina with nutrients and oxygen.,
data/vlmdata/img_3.png,0,no_diabetic_retinopathy,"What abnormalities are visible? If none are visible, say so clearly.","Question: What abnormalities are visible? If none are visible, say so clearly. Answer: The retina is normal.",
data/vlmdata/img_3.png,0,no_diabetic_retinopathy,Give the most likely diagnosis and a one-sentence justification based only on visible evidence.,Question: Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer: vitreous humor,
data/vlmdata/img_4.png,1,mild_retinopathy,Describe this ophthalmic image briefly.,Question: Describe this ophthalmic image briefly. Answer: The image shows a macular hole in the retina,
data/vlmdata/img_4.png,1,mild_retinopathy,"What abnormalities are visible? If none are visible, say so clearly.","Question: What abnormalities are visible? If none are visible, say so clearly. Answer: The retina is normal",
data/vlmdata/img_4.png,1,mild_retinopathy,Give the most likely diagnosis and a one-sentence justification based only on visible evidence.,Question: Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer: vitreous humor,
data/vlmdata/img_5.png,2,moderate_retinopathy,Describe this ophthalmic image briefly.,Question: Describe this ophthalmic image briefly. Answer: The image shows a macular hole in the retina,
data/vlmdata/img_5.png,2,moderate_retinopathy,"What abnormalities are visible? If none are visible, say so clearly.","Question: What abnormalities are visible? If none are visible, say so clearly. Answer: The retina is normal",
data/vlmdata/img_5.png,2,moderate_retinopathy,Give the most likely diagnosis and a one-sentence justification based only on visible evidence.,Question: Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer: vitreous humor,
data/vlmdata/img_6.png,4,proliferative_retinopathy,Describe this ophthalmic image briefly.,Question: Describe this ophthalmic image briefly. Answer: The retina is the light-sensitive tissue of the eye that receives light from the retina of the eye and converts it into electrical signals that are sent to the brain,
data/vlmdata/img_6.png,4,proliferative_retinopathy,"What abnormalities are visible? If none are visible, say so clearly.","Question: What abnormalities are visible? If none are visible, say so clearly. Answer: The retina is normal.",
data/vlmdata/img_6.png,4,proliferative_retinopathy,Give the most likely diagnosis and a one-sentence justification based only on visible evidence.,Question: Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer: vitreous humor,
data/vlmdata/img_7.png,4,proliferative_retinopathy,Describe this ophthalmic image briefly.,Question: Describe this ophthalmic image briefly. Answer: The retina is the light-sensitive tissue of the eye that receives light from the retina of the eye and converts it into electrical signals that are sent to the brain,
data/vlmdata/img_7.png,4,proliferative_retinopathy,"What abnormalities are visible? If none are visible, say so clearly.","Question: What abnormalities are visible? If none are visible, say so clearly. Answer: The retina is normal.",
data/vlmdata/img_7.png,4,proliferative_retinopathy,Give the most likely diagnosis and a one-sentence justification based only on visible evidence.,Question: Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer: vitreous humor,
data/vlmdata/img_8.png,0,no_diabetic_retinopathy,Describe this ophthalmic image briefly.,Question: Describe this ophthalmic image briefly. Answer: The retina is the light-sensitive tissue of the eye that receives light from the retina and converts it into electrical signals that are sent to the brain. The retina is a thin layer of tissue that is located at the back of the eye. The retina is surrounded by a layer of blood vessels that supply the retina with oxygen and nutrients. The retina is also surrounded by a layer of nerve cells that transmit the electrical signals from the retina to the brain. The retina is surrounded by a layer of nerve cells that transmit the electrical signals from the retina to the brain.,
data/vlmdata/img_8.png,0,no_diabetic_retinopathy,"What abnormalities are visible? If none are visible, say so clearly.","Question: What abnormalities are visible? If none are visible, say so clearly. Answer: The retina is normal.",
data/vlmdata/img_8.png,0,no_diabetic_retinopathy,Give the most likely diagnosis and a one-sentence justification based only on visible evidence.,Question: Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer: vitreous humor,
data/vlmdata/img_9.png,1,mild_retinopathy,Describe this ophthalmic image briefly.,Question: Describe this ophthalmic image briefly. Answer: The image shows a macular hole in the retina. The macula is the central part of the retina that is responsible for central vision. The macula is surrounded by a layer of blood vessels that supply the retina with nutrients and oxygen. The macula is surrounded by a layer of blood vessels that supply the retina with nutrients and oxygen.,
data/vlmdata/img_9.png,1,mild_retinopathy,"What abnormalities are visible? If none are visible, say so clearly.","Question: What abnormalities are visible? If none are visible, say so clearly. Answer: The retina is normal.",
data/vlmdata/img_9.png,1,mild_retinopathy,Give the most likely diagnosis and a one-sentence justification based only on visible evidence.,Question: Give the most likely diagnosis and a one-sentence justification based only on visible evidence. Answer: macular degeneration,
